ndc_description,ndc,nadac_per_unit,effective_date,Brand
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6721.879,2023-06-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3372.007,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.68529,2024-02-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3367.85271,2024-02-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3367.85271,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.68529,2024-02-21,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3372.007,2024-02-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3367.85271,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3372.007,2024-02-21,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3368.23833,2024-02-21,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.68529,2024-02-21,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3372.007,2024-02-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3367.85271,2024-02-21,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.68529,2024-02-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.756,2024-03-20,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3368.595,2024-03-20,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.756,2024-03-20,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3368.595,2024-03-20,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3368.3975,2024-03-20,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3368.3975,2024-03-20,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.756,2024-03-20,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3368.595,2024-03-20,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3368.595,2024-03-20,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.756,2024-03-20,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3368.3975,2024-03-20,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3368.3975,2024-03-20,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6733.12,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.21064,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3366.37596,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3367.0654,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3367.91964,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.90402,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-04-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.90402,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3367.0654,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3366.37596,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.21064,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6733.12,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3367.91964,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6733.12,2024-04-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.90402,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3366.37596,2024-04-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.90402,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.21064,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3367.0654,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3366.37596,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.21064,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6733.12,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3367.91964,2024-04-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3367.91964,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3367.0654,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-04-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3367.91964,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3367.0654,2024-04-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.90402,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6733.12,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.21064,2024-04-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3366.37596,2024-04-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-05-22,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.47362,2024-05-22,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.865,2024-05-22,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.865,2024-05-22,Hadlima (Organon)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3365.1359,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6731.08171,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6731.08171,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3365.1359,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-05-22,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.47362,2024-05-22,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3364.04591,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.10802,2024-05-22,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3364.04591,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.10802,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6731.08171,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-05-22,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.865,2024-05-22,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3364.04591,2024-05-22,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.47362,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.10802,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3365.1359,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6731.08171,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-05-22,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.865,2024-05-22,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3364.04591,2024-05-22,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.47362,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3368.718,2024-05-22,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.10802,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3365.1359,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-05-22,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-06-19,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.87094,2024-06-19,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.58136,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3370.92944,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.09052,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3364.29156,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.81537,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-06-19,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.11607,2024-06-19,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.87094,2024-06-19,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.58136,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.09052,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3364.29156,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.81537,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-06-19,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.11607,2024-06-19,Hadlima (Organon)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3370.92944,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.81537,2024-06-19,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.11607,2024-06-19,Hadlima (Organon)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-06-19,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.58136,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3370.92944,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.09052,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3364.29156,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6729.81537,2024-06-19,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.87094,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-06-19,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1256.11607,2024-06-19,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.87094,2024-06-19,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3366.58136,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3370.92944,2024-06-19,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3366.09052,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3364.29156,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6731.65852,2024-06-19,Humira (AbbVie)
HUMIRA(CF) PEN PS-UV-ADOL HS START 80 MG/0.8 ML-40 MG/0.4 ML,00074153903,4462.442,2024-07-17,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6721.35111,2024-07-17,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6726.67818,2024-07-17,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.32055,2024-07-17,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3364.22272,2024-07-17,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1255.87188,2024-07-17,Hadlima (Organon)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3365.48397,2024-07-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.05074,2024-07-17,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.86,2024-07-17,Unbranded Adalimumab
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1255.87188,2024-07-17,Hadlima (Organon)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3361.63,2024-07-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.05074,2024-07-17,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.86,2024-07-17,Unbranded Adalimumab
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3361.63,2024-07-17,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.05074,2024-07-17,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3365.48397,2024-07-17,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3361.63,2024-07-17,Humira (AbbVie)
